559,CA-2016-113243,2016-06-10,2016-06-15,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,32.4,5.0,0.0,15.552
846,CA-2016-161669,2016-11-07,2016-11-09,First Class,EM-14095,Eudokia Martin,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10004093,Office Supplies,Labels,Avery 486,14.62,2.0,0.0,6.8714
848,CA-2015-114300,2015-10-13,2015-10-17,Standard Class,AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,40214,South,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,287.94,3.0,0.0,77.7438
1173,CA-2014-158064,2014-04-21,2014-04-25,Standard Class,AA-10375,Allen Armold,Consumer,United States,Los Angeles,California,90008,West,OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco,16.52,5.0,0.2,5.5755
1534,CA-2016-139885,2016-12-04,2016-12-08,Standard Class,EB-13840,Ellis Ballard,Corporate,United States,New York City,New York,10035,East,OFF-ST-10003324,Office Supplies,Storage,Belkin OmniView SE Rackmount Kit,212.88,6.0,0.0,0.0
1714,US-2017-124968,2017-09-08,2017-09-13,Second Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60610,Central,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,765.625,7.0,0.5,-566.5625
1744,CA-2017-152807,2017-10-30,2017-11-03,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,11.168,2.0,0.2,-2.5128
1759,CA-2014-139017,2014-05-11,2014-05-17,Standard Class,RM-19375,Raymond Messe,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10001013,Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,46.864,2.0,0.2,7.6154
1940,CA-2016-112109,2016-07-08,2016-07-12,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Broomfield,Colorado,80020,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,8.736,4.0,0.7,-6.1152
1953,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East,OFF-LA-10001641,Office Supplies,Labels,Avery 518,18.9,6.0,0.0,9.072
2220,CA-2017-130841,2017-07-28,2017-08-01,Standard Class,MH-17620,Matt Hagelstein,Corporate,United States,San Francisco,California,94110,West,OFF-ST-10001580,Office Supplies,Storage,Super Decoflex Portable Personal File,14.98,1.0,0.0,4.1944
2269,CA-2017-105480,2017-12-20,2017-12-26,Standard Class,DK-13225,Dean Katz,Corporate,United States,Rochester,New York,14609,East,OFF-PA-10002787,Office Supplies,Paper,Xerox 227,6.48,1.0,0.0,3.1104
2489,CA-2015-104514,2015-01-02,2015-01-04,Second Class,CB-12535,Claudia Bergmann,Corporate,United States,Newark,Delaware,19711,East,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,20.04,3.0,0.0,9.6192
2931,CA-2015-168564,2015-08-08,2015-08-08,Same Day,TT-21220,Thomas Thornton,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1\"",6.608,2.0,0.2,2.2302
3068,CA-2017-106859,2017-03-13,2017-03-18,Second Class,BF-11215,Benjamin Farhat,Home Office,United States,Albuquerque,New Mexico,87105,West,OFF-PA-10001534,Office Supplies,Paper,Xerox 230,45.36,7.0,0.0,21.7728
3090,US-2017-159205,2017-03-31,2017-04-02,Second Class,DB-12910,Daniel Byrd,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10000526,Technology,Phones,Vtech CS6719,671.93,7.0,0.0,188.1404
3297,US-2015-110569,2015-05-23,2015-05-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,19.194,7.0,0.7,-12.796
3531,US-2016-152835,2016-05-19,2016-05-23,Standard Class,RP-19855,Roy Phan,Corporate,United States,Lafayette,Indiana,47905,Central,OFF-AR-10003056,Office Supplies,Art,Newell 341,21.4,5.0,0.0,6.206
3860,CA-2017-154039,2017-02-17,2017-02-22,Standard Class,JK-16120,Julie Kriz,Home Office,United States,Chicago,Illinois,60653,Central,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48\" x 96\" Racetrack Double Pedestal Table",480.96,3.0,0.5,-269.3376
4587,US-2017-163790,2017-11-02,2017-11-04,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-BI-10003718,Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,590.352,6.0,0.2,206.6232
4704,CA-2016-166240,2016-06-24,2016-06-28,Standard Class,DH-13075,Dave Hallsten,Corporate,United States,Houston,Texas,77095,Central,OFF-AP-10002082,Office Supplies,Appliances,Holmes HEPA Air Purifier,8.712,2.0,0.8,-19.602
4917,CA-2017-163125,2017-10-09,2017-10-11,Second Class,MB-17305,Maria Bertelson,Consumer,United States,League City,Texas,77573,Central,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,67.144,7.0,0.2,5.8751
5183,CA-2017-108749,2017-09-12,2017-09-15,First Class,DJ-13510,Don Jones,Corporate,United States,Woonsocket,Rhode Island,2895,East,OFF-BI-10003707,Office Supplies,Binders,Aluminum Screw Posts,45.78,3.0,0.0,22.89
5314,CA-2017-137876,2017-04-30,2017-05-05,Standard Class,DJ-13510,Don Jones,Corporate,United States,San Francisco,California,94110,West,FUR-FU-10000222,Furniture,Furnishings,"Seth Thomas 16\" Steel Case Clock",64.96,2.0,0.0,21.4368
5718,CA-2015-124107,2015-10-09,2015-10-12,Second Class,BM-11650,Brian Moss,Corporate,United States,Ann Arbor,Michigan,48104,Central,OFF-EN-10003286,Office Supplies,Envelopes,Staple envelope,57.96,7.0,0.0,27.2412
6407,CA-2017-154074,2017-08-31,2017-09-02,Second Class,BW-11110,Bart Watters,Corporate,United States,Spokane,Washington,99207,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",149.73,7.0,0.0,43.4217
6484,CA-2017-113908,2017-06-03,2017-06-09,Standard Class,KN-16390,Katherine Nockton,Corporate,United States,New York City,New York,10011,East,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48\" x 96\" Racetrack Double Pedestal Table",384.768,2.0,0.4,-115.4304
6751,CA-2016-154767,2016-06-28,2016-06-30,Second Class,BP-11155,Becky Pak,Consumer,United States,Paterson,New Jersey,7501,East,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",121.96,2.0,0.0,20.7332
6998,CA-2017-117443,2017-12-23,2017-12-25,Second Class,JB-15400,Jennifer Braxton,Corporate,United States,Rockford,Illinois,61107,Central,OFF-PA-10004475,Office Supplies,Paper,Xerox 1940,175.872,4.0,0.2,63.7536
7191,CA-2016-164399,2016-11-12,2016-11-15,First Class,DW-13480,Dianna Wilson,Home Office,United States,San Diego,California,92024,West,FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,674.352,3.0,0.2,-8.4294
7705,CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,FUR-TA-10004147,Furniture,Tables,Hon 4060 Series Tables,447.84,4.0,0.0,98.5248
7849,CA-2016-104311,2016-05-02,2016-05-06,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,Irving,Texas,75061,Central,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,18.936,3.0,0.2,-3.7872
7961,CA-2017-131807,2017-10-05,2017-10-10,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,95928,West,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2\" x 4 1/2\" x 1\", White",7.992,1.0,0.2,2.6973
8057,CA-2015-121188,2015-08-28,2015-09-04,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,728.82,9.0,0.0,29.1528
8317,CA-2014-161508,2014-07-12,2014-07-16,Standard Class,PV-18985,Paul Van Hugh,Home Office,United States,League City,Texas,77573,Central,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,16.032,3.0,0.2,5.6112
8493,CA-2015-109190,2015-10-23,2015-10-28,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Lubbock,Texas,79424,Central,OFF-PA-10000069,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",60.736,8.0,0.2,20.4984
8521,CA-2017-118003,2017-12-04,2017-12-10,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Paterson,New Jersey,7501,East,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,302.94,3.0,0.0,18.1764
8738,CA-2017-161592,2017-04-06,2017-04-10,Standard Class,CS-12175,Charles Sheldon,Corporate,United States,Chattanooga,Tennessee,37421,South,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,8.1,5.0,0.7,-5.94
9216,CA-2016-152646,2016-11-21,2016-11-26,Standard Class,TH-21235,Tiffany House,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10004451,Office Supplies,Paper,Xerox 222,32.4,5.0,0.0,15.552
9289,US-2017-165456,2017-11-30,2017-12-03,First Class,TB-21625,Trudy Brown,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,1079.316,6.0,0.3,-15.4188
9402,CA-2014-159814,2014-06-24,2014-06-28,Standard Class,LP-17080,Liz Pelletier,Consumer,United States,Tucson,Arizona,85705,West,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,4.272,2.0,0.2,0.9612
